user_id,text,timestamp,likes,replies
@MariaSolRecalde,Que tristeza 😔 que tristeza cuánto daño tiene el ser humano es como que los periodistas y moderadores estarían más al tanto de la realidad de las problemáticas internas y externas sus preguntas muy bien estructuradas 👏🏻👏🏻 les dieron como a holgazán 👏🏻 💯 💎 y los famosos presidenciales para lo único que llegarían es a cuestionar son tan injustos con Venezuela un territorio hermano que gracias a sanciones y bloqueos y restricciones extremas tiene un retroceso total 😡 ☝🏻 odian tanto a la dictadura lo cual es un atrevimiento y desequilibrio mental de esta mujer sobretodo quería dar balazos muerte que te crees ser humano sin respeto a la vida 😡🤨☝🏻😔al cuestionar a quien es un territorio hermano en vulnerabilidad justamente gracias a todos ustedes los que no respetan y odian tanto en vez de unir fuerzas para lograr ayudar son una vergüenza total 😡 ☝🏻 unidos al iluminado y elegido del destino manifiesto 😂😂 cucu 😡☝🏻tomando el nombre de Dios para entrar a invadir matar ustedes no tienen perdón de Dios 😡☝🏻y los periodistas les preguntan si están de acuerdo con la invasión a Venezuela y con excepción de la Presidenta Jara 👏🏻💯  que fue respetuosa con su criterio propio e ideología y dijo no estar de acuerdo con un régimen pero jamás de acuerdo con una invasión a ningún territorio hermano 👏🏻👏🏻💯💎❤️😡☝🏻y el admirador que jamás estaba de acuerdo con la invasión són una que otra luz sin argumentos pero no anormales desalmados 🤔🤔que en definitiva era justo el que se asombro de todo🤣🤣🤨🤨 pero se asombro de tanta atropello e inteligencia 😂😂 y un Kast o Kats 😂 que no contestó nada el estaba totalmente sesgado al mismo odio enfermiso pero sin saber nada pausa total 😂😂 y ésa mujer💩 que dijo que no tenía Alzheimer pero su problema no fue ése realmente fue peor terrible escuchar en una mujer ése odio enfermiso político en contra de un territorio hermano en vulnerabilidad y en contra de todo que lastima de mujer tienes un problema muy grande existencial 🤨🤨 en contra de Venezuela que todo su retroceso total 🤨🤨😔😔 no es gracias a Chávez ni a Maduro es gracias a las sanciones y bloqueos y restricciones extremas que tienen en contra de Venezuela escudados en el odio enfermiso al dictador 😡☝🏻pero se nota que lo que les apesta a está gente es la vida misma de los seres humanos es gracias a Chávez y Maduro que el País todavía tiene su riqueza intacta jamás lograron meter una pata ningún yankee para colonizar Venezuela Nicaragua y Cuba Palestina y Gaza Irán y todos los territorios hermanos 😡☝🏻🤨les encantaría pues no se puede es territorio hermano ajeno😡☝🏻 y nadie tiene el derecho de intervenir como delincuentes terroristas en ningún territorio hermano éso no les gustaría a ninguno de ustedes en sus territorios 😡☝🏻,2025-11-15T12:11:22Z,1,0
@enif2D,No soy lesbiana pero ptaque esta wena la Soledad O. 😂❤,2025-11-15T10:31:56Z,0,0
@official_martindelrey,Ok,2025-11-15T03:54:32Z,0,0
@adelaidaarancibiaramirez4764,Vamos Kaiser 👍🏼👍🏼👍🏼,2025-11-14T17:19:09Z,1,0
@elfrugal,3:02:41 dice “losotros” el profe 😂 se me cayó ahí,2025-11-14T15:33:44Z,5,0
@diegomarindiaz-v9z,"Deberían hacer un resumen de las propuestas de cada candidato con respecto a: 
1.- Salud y bienestar 
2.- Educación 
3.- incorporación de oportunidades laborales (sueldos y horas trabajadas)
4.- incorporación de áreas verdes y centros de actividad física 
5.- postulación a viviendas 

Porque 4 horas prefiero escuchar a Brian Tracy o al Dr. Manuel Sanz Segara o ir a hacer deporte 🌝😟",2025-11-14T12:03:59Z,0,1
@nicolasurrutiaquezada3937,FRANCO PARISI 🇨🇱,2025-11-14T07:44:11Z,1,0
@EnzoEfe1,1:22:48 gracias personificación del bostezo. Disfruta los 3 votos,2025-11-14T03:56:55Z,0,0
@EnzoEfe1,33:38 Nor Virden,2025-11-14T02:59:40Z,0,0
@CristianEscarate-ny3zp,Yo no acostumbro a ver estás cosas porque no creo. Pero hoy me dí el gusto de oir y analizar.para ver cómo está el Circo😂,2025-11-14T02:06:31Z,2,0
@CristianEscarate-ny3zp,"Si les dijera mi completo parecer ,me perjudicaría .Así que voy a darles mi opinión diluida versión Lite .Solo voy a plantear una utiopia si reuniéramos cada buena idea de cada uno más un sistema que no permita corrupción tendríamos el  candidato ideal .Lamentablemente por más intachable que fuera uno de estos señores el sistema no le permitirá aplicar lo planteado en el caso que sea todo genuino y una persona común como yo solo vale como un voto nada más en esta instancia,Sinceramente eligire al menos malo según mi criterio .Pues está es la instancia que tú voto Vale por igual norma de la democracia .Aunque solo es uno osea casi nada ,Pero si UD no vota,o vota nulo UD en la realidad no hace nada osea no puede exigir ni esperar cambios .",2025-11-14T01:54:55Z,0,0
@offonoffonoffonoff,Profesor Chantisi,2025-11-14T01:25:21Z,0,0
@offonoffonoffonoff,caballero hace lo suyo y se retira,2025-11-14T01:23:00Z,0,0
