user_id,text,timestamp,likes,replies
@carolinasilvarecabarren8746,"NO le creo a jara , es una comunista integra. No hay peor ser humano que reniega de sus creencias . Mentirosa , y falsa. 
Al que más le creo es a kast , y también al Sr kayser. 
La Sra mathei pobrecita , me da pena . 
Los demás , no tengo tiempo para mal gastar. 
Vamos chile !!! 🇨🇱 viva 🇨🇱 chile!!!",2025-11-14T11:02:22Z,0,0
@nicolasurrutiaquezada3937,PARISI 🇨🇱,2025-11-14T07:46:52Z,0,0
@LexTalionis18,"No tengo áinmo de revisar los comentarios.  Pero, los periodistas claramente no estuvieron a la altura de un Mosciatti. Y estoy claro que, Mosciatti no es periodista pero en la elección anterior ""puta que hizo arar a los candidatos "".😂😂😂😂😂😂😂😂",2025-11-14T06:04:19Z,0,0
@jaimesantelices1916,KAISER SIEMPRE CAGANDO FUERA DEL TIESTO..,2025-11-14T04:24:52Z,0,0
@nataliemunoz8600,"1:49:50 Artés educando a Jara sobre economía y la reacción de Kaiser 1:50:08, oro puro 😂
3:04:44 Momento de la noche⚘️ y reacción de Matamala y Matthei 3:05:03 y coronado con la flor en el escote 3:07:32. Esto es cine 🚬",2025-11-14T04:21:21Z,3,1
@millarayhuenchunvaldes,Janette jara está obsesionada con el secreto bancario 🫣,2025-11-14T04:09:05Z,0,0
@user-mk3hp4hk4k,Vieron como a jara le soplaban respuestas por em audífono y el reloj?,2025-11-14T01:43:32Z,0,0
@caburtosepulveda,"Que basura de preguntas por parte de los periodistas, y se creen lo mejor de Chile jajaj",2025-11-14T01:02:39Z,2,0
@fabiolasgm33,A las 5.30 de la mañana jajaj es una canción jajja😅,2025-11-14T00:54:43Z,1,0
@fabiolasgm33,"Parici, Meo, Artes responden lo mínimo, como los mínimos de votos que tendrán y que los mantendrán un buen tiempo. Reflejo de gente mediocre y Meo no se cansa él....",2025-11-14T00:50:45Z,2,0
@RosarioAndrade-w9c,"Que aya dicho que maduro es un dictador,me convenció,mi voto es para Marco❤",2025-11-13T22:58:22Z,2,0
@Gakoth,"Ah, los comentarios de los debates siempre demuestran lo mismo. Nadie viene aquí a escuchar propuestas, solo a fortalecer su sesgo de confirmación.

EDIT: Y que hay bots de derecha. No estoy insultando, lo digo literalmente, hay cuentas bots en los comentarios.",2025-11-13T22:24:53Z,3,0
@MiguelVillagrán-q2x,José Antonio Kast realmente dio alguna propuesta o este gobierno de fracasado le quitó las palabras de la boca,2025-11-13T21:12:03Z,1,0
@felipefernandez5181,"Propuestas resumen 
Kast : mejorar la seguridad 
Parisi : inyectar dinero en la gente 
Artes: detener a la bestia de estados unidos
Harold: la ludopatia no xd",2025-11-13T20:07:35Z,2,0
@J.1990.M,"Jara, esos dineros para las cuidadoras lamentablemente es para las mujeres que estan bajo el.60% en el RSH... no es para todas.",2025-11-13T17:02:17Z,1,0
@pamelaaraneda-t9x,Kast lo que sea que le preguntan… es que el gobierno…😂,2025-11-13T15:53:55Z,1,0
@EmersonFigueroa-v1x,Esto no es debate sino una entrevista o conversatorio. Pésimo,2025-11-13T15:52:05Z,1,0
@diegobarrientos49,kast habla y a la vez no dice nada 🤡🤡🤡,2025-11-13T15:36:36Z,1,0
@AlelíTejidos,"En china hay pena de muerte para los que cometen delito y traicion a la patria  ayá en china la justicia es justicia y aca en chile es un chiste estos comunistas por que no hablan de la pena de muerte en china? Siempre enfocados solo en el capitalismo son unos, chantas",2025-11-13T13:20:06Z,1,0
@neoian6356,"OJO QUE TODOS ESTOS SEUDO-PERIODISTAS TODOS SON ""OCTUBRISTAS"" ANTI DERECHA.",2025-11-13T13:11:20Z,0,0
@pipoamir2494,Parisi es el indicado,2025-11-13T12:54:02Z,0,0
@elizabethangel82,"La info🎉rmante, Soledad Oneto , era madura profesionalmente, se esta apichando....debe tener mucha amistad con el tonto candidato Ominami...que pregunta tan estúpida  y su carita de empatia....a pensantes como Kast y Kaiser se va con tanto odio y deseando hacerles sancadilla, quedando como una estupida, pirque Ellos son GRANDES, y saben sobre que palo trepan, apuchada Soleto",2025-11-13T12:09:32Z,0,0
